Stadt,2011,2012,2013
Berlin,3510872,3375222,3421829
Hamburg,1798836,1734272,1746342
München,1378176,1388308,1407836
Köln,1017155,1024373,1034175
Frankfurt am Main,691518,687775,701350
Stuttgart,613392,597939,604297
Düsseldorf,592393,593682,598686
Dortmund,580956,572087,575944
Essen,573468,566862,569884
Bremen,548319,546451,548547
Leipzig,531809,520838,531562
Dresden,529781,525105,530754
Hannover,525875,514137,518386
Nürnberg,510602,495121,498876
Duisburg,488005,486816,486855
Bochum,373976,362213,361734
Wuppertal,349470,342885,343488
Bielefeld,323395,328314,328864
Bonn,327913,309869,311287
Münster,291754,296599,299708
Karlsruhe,297488,296033,299103
Mannheim,314931,294627,296690
Augsburg,266647,272699,276542
Wiesbaden,278919,272636,273871
Gelsenkirchen,256652,257607,257850
Mönchengladbach,257208,255087,255430
Braunschweig,250556,245798,247227
Chemnitz,243173,241210,242022
Aachen,260454,240086,241683
Kiel,242041,239866,241533
Halle (Saale),233705,231440,231565
Magdeburg,232364,229924,231021
Krefeld,234396,222026,222058
Freiburg im Breisgau,229144,218043,220286
Lübeck,210577,211713,212958
Oberhausen,212568,210005,209097
Mainz,200957,202756,204268
Erfurt,206384,203485,204880
Rostock,204260,202887,203431
Kassel,196526,192874,194087
Hagen,187447,186243,185996
Saarbrücken,176135,176996,177201
Hamm,182112,176440,176048
Mülheim a d Ruhr,167156,166654,166640
Potsdam,158902,159456,161468
Ludwigshafen am Rhein,165560,160179,161518
Leverkusen,161195,159926,160819
Oldenburg,162481,158658,159610
Osnabrück,165021,155625,156315
Solingen,159699,155316,155768
Heidelberg,149633,150335,152113
Herne,164244,154563,154417
Neuss,152010,151486,152252
Darmstadt,149052,147925,149743
Paderborn,147688,143575,143659
Regensburg,136577,138296,140276
Ingolstadt,126732,127886,129136
Würzburg,133808,124577,124698
Wolfsburg,122583,121758,122457
Fürth,116317,118358,119808
Offenbach am Main,122705,116945,119203
Ulm,123672,117977,119218
Heilbronn,124257,117531,118122
Pforzheim,120709,116425,117754
Göttingen,121364,116650,116891
Bottrop,116361,116498,116055
Recklinghausen,117672,115385,115320
Reutlingen,112735,110681,111357
Koblenz,106677,109779,110643
Bremerhaven,112982,108323,108844
Bergisch Gladbach,105836,109138,109425
Remscheid,109596,109352,108955
Trier,105675,106544,107233
Jena,105463,106915,107679
Erlangen,106326,105412,105624
Moers,105102,103504,103108
